Category,Subcategory,Name,Location,Website,Map Coordinates,Mobile Numbers
Business Services,AC Repair Services,Air conditioner Suppliers,"Near Mali Petrol Pump, Kalimati, Kathmandu, Nepal",renusuppl.business.site,"27.6893563664106,85.3222438862305",9808100093
Business Services,AC Repair Services,Air Conditioning Suppliers Nepal,"Near Mali Petrol Pump, Kalimati, Kathmandu, Nepal",renusuppl.business.site,"27.5994170049778,85.387435734375",9808100093
Business Services,AC Repair Services,S. B manokamana electric parts,"Prithivichowk, Pokhara, Nepal",2000,"28.2084027860757,83.9843027293682",9866041811
Business Services,AC Repair Services,Ans Electricals And Electric Workshop,"M9V8+QJ Kathmandu, Nepal, Kathmandu",www.facebook.com/anselectric,"27.6945298594803,85.3666064913705",9849999128
Business Services,Business to Business,Mangalam Doree Industries,"Bajrang Tol Road, Behind Thakur Ram Campus, Adarshnagar, Birgunj, Nepal, Birgunj",mangalamdoreeindustries.business.site/,"27.0146076296484,84.8656916959247",9855022930
Business Services,Business to Business,Axis Investment and Development Pvt. Ltd.,"Gairigaun, Tinkune, Kathmandu, Nepal",www.pasalnepal.com,"27.6883683443276,85.3485724499207",9851134183
Business Services,Business to Business,Ocean Plastic Industries,"Parwanipur, Birgunj, Nepal",ocean-plastic-industries.business.site,"27.0714530575996,84.9163554081335",9855035227
Business Services,Business to Business,MEGATECH TRADE GROUP,"3rd floor, King's Way Tower, Ghantaghar, Kathmandu, Nepal",www.megatech.com.np,"27.7081486854644,85.3169663250446",9801110303
Business Services,Business to Business,Pasal Nepal Business,"Tinkune, Kathmandu, Kathmandu, Nepal",www.pasalnepal.com.np,"27.6968422431982,85.3487333824616",9851134183
Business Services,B2B,Armaans Global,"Maharajgunj Chakrapath, Kathmandu, Nepal",www.armaansglobal.com/,"27.741638234385018,85.3377450025922",9808909408
Business Services,Business Development,Vigorous IT Solution,"Chhorepatan-17, Pokhara 33700, Nepal, Pokhara",vigorousitsolution.com,"28.1914668394868,83.9507962451218",9816162802
Business Services,Business Development,Raindrops Creation,"Lazimpat, Kathmandu, Nepal",www.raindropscreation.com,"27.7229034922392,85.3230106626177",9849167154
Business Services,Laundry and Dry Cleaning,Klin Laundromat,"Maitidevi Plaza (Behind KKFC), Maitidevi-30, Kathmandu, Kathmandu, Nepal",klin.com.np/,"27.703879900746,85.3331328621045",9843605986
Business Services,Laundry and Dry Cleaning,Lumbini Laundry house & Cleaning,"Manigram-5, Butwal, Nepal",lumbinilaundry.com,"27.6292829718179,83.4740652801535",9810164508
Business Services,Laundry and Dry Cleaning,WECLEAN,"RAJMARGH CHAURAHA , DWARIKA HALL BUILDING, Butwal, Nepal",www.weclean.com.np,"27.6863174219765,83.4647424818115",9827428202
Business Services,Waste Services,Doko Recyclers Pvt Ltd,"Sanothimi, Kathmandu, Nepal",www.dokorecyclers.com,"27.6813938815852,85.3625818790615",9851115974
Business Services,Recycling,Green Bricks,"Matepani-12, Pokhara, Nepal",www.greenroadwastemgmt.com,"28.2172945723954,84.005357692723",9861485353
Business Services,Garbage Removal,Doko Recyclers Pvt Ltd,"Sanothimi, Kathmandu, Nepal",www.dokorecyclers.com,"27.6813938815852,85.3625818790615",9851115974
Computers & Internet,Communications,WEBSOFT NEPAL Pvt. Ltd.,"2nd Floor Pashupati Plaza, Honkong Bazar Rd, Narayangarh, Chitwan, Bharatpur, Nepal",www.websoftnepal.com,"27.6947715554579,84.4246610999107",9845506426
Computers & Internet,Communications,CompuTeX IT Solution,"rambazar-10, Pension Camp way, gauri marga, Pokhara, Nepal",computexnp.business.site/,"28.2018339892288,83.9952971041202",9818320706
Computers & Internet,Communications,Decade International P Ltd,"Samakhushi Townplanning, Kathmandu, Nepal",http://decadeint.com,"27.7306397473033,85.3163078427315",9851044707
Computers & Internet,Communications,"Thakur International for Call Centre, BPO Services","Lamtangi Marg, Chundevi, Maharajgunj, Kathmandu-4, Nepal, Kathmandu",thakurintl.com/,"27.7352592444415,85.3380549492323",9851187077
Computers & Internet,Communications,Oldpinch Online Shopping,"Bagdol-4, Lalitpur, Kathmandu, Nepal",www.oldpinch.com,"27.671152524845,85.3013441135863",9864478470
Computers & Internet,Communications,Hamro Store (p) Ltd.,"Chapagaun-6, Lalitpur, Kathmandu, Nepal",www.hamrostore.com,"27.5914845,85.3265449",9851188334
Computers & Internet,Communications,Real Time Solutions Pvt. Ltd,"Dhobighat, Jhamsikhel, Kathmandu, Kathmandu, Nepal",http://www.rts.com.np,"27.6754117056873,85.3084218801098",9801074963
Computers & Internet,Communications,Mac Support Pvt.Ltd,"kathmandu Nepal, Kathmandu",connect.instavc.com/,"27.7163574843145,85.3153610229492",9808612382
Computers & Internet,Communications,Connepsys PVT LTD,"Gyaneshwor-30, Kathmandu, Nepal, Kathmandu",www.connepsys.com,"27.7017773579742,85.3224205970764",9851014866
Computers & Internet,Communications,New A to Z Computer & Language Centre,"Bhanuchowk, JanakpurDham, Nepal, Janakpur",http://www.newatoz.edu.np,"28.3706928044213,84.200912296875",9844026865
Computers & Internet,Communications,Zen IT Hub Pvt. Ltd.,"Satdobato, Lalitpur, Kathmandu, Nepal",zenithub.com,"27.6565480102511,85.3250612538938",9849123571
Computers & Internet,Communications,Aryan Mobile Gallery,"mahendrapool, infront of NTC building (medical line), Pokhara, Nepal",www.aryanmobile.com.np,"28.2232417750684,83.9906889186935",9856083621
Computers & Internet,Communications,Hello Mobile Care,"Mahendrapool-9, Pokhara, Nepal",www.hellomobilecare.com,"28.223814939573,83.9910079837875",9802828181
Computers & Internet,Communications,HerChaha,"Chandragiri - 3, Thankot, Kathmandu, Nepal",www.herchaha.com.np,"27.6923860749574,85.2284241003076",9880775724
Computers & Internet,Web Design,Nepgeeks Technology,"Putalisadak Kathmandu, Kathmandu, Nepal",nepgeeks.com/,"27.7032519,85.3236017",9869178426
Computers & Internet,Web Design,WEBSOFT NEPAL Pvt. Ltd.,"2nd Floor Pashupati Plaza, Honkong Bazar Rd, Narayangarh, Chitwan, Bharatpur, Nepal",www.websoftnepal.com,"27.6947715554579,84.4246610999107",9845506426
Computers & Internet,Web Design,Digital Terai,"New Baneshwor, Kathmandu, Nepal",digitalterai.com/,"27.7190688511289,85.3308269550781",9863992047
Computers & Internet,Web Design,Salfox IT Solutions,"1043/31 Bhagawati Marg, Naxal, Kathmandu , Kathmandu, Nepal",www.salfox.com,"27.7126912646128,85.3276777267456",9841548560
Computers & Internet,Web Design,Journey4tech,"Ramanad Chowk , Janakpur, Janakpur, Nepal",www.journey4tech.com,"26.7314395014434,85.9386145634765",9801035905
Computers & Internet,Web Design,Green Edge Technologies Pvt. Ltd. (GETS),"Aadrasha Marga, Newroad-8, Pokhara, Gandaki, Pokhara, Nepal",www.gets.com.np,"0,0",9856026092
Computers & Internet,Web Design,InDesign Media Pvt. Ltd.,"Sansari Maisthan, Biratnagar, Nepal",indesignmedia.net,"26.454616950506928,87.27447812205538",9852039585
Computers & Internet,Web Design,Magnetic Web Solution,"Kupondole -1, Patan, Nepal",magneticwebsolution.com/,"27.6909854124391,85.3074617491211",9810166373
Computers & Internet,Web Design,aapple technologies,"dhoka baha, jyatha, Kathmandu, Nepal",www.atnepal.net,"28.3963917409217,84.1379879415035",9849143786
Computers & Internet,Web Design,BMP Infology Pvt. Ltd.,"Baluwatar Kathmandu, Kathmandu, Nepal",www.bmpinfology.com/,"27.730599,85.330603",9841827195
Computers & Internet,Web Design,Orasoft Pvt. Ltd,"Minbhawan, Kathmandu, Nepal",www.orasoftnepal.com,"27.6871705183054,85.3417256320076",9851000269
Computers & Internet,Web Design,Transparent Digital Agency,"Adarshanagar, Kathmandu, Kathmandu, Nepal",www.transparentdigitalagency.com,"27.7316468867946,85.3583311880188",9803676858
Computers & Internet,Web Design,Bikashsoft Technology pvt. Ltd.,"Kapan Kathmandu Nepal, Kathmandu",bikashsoft.com/,"27.7202420230419,85.3592312335968",9841558333
Computers & Internet,Web Design,Bramento Technology,"Maitidevi, Kathmandu, Nepal",www.bramento.com,"27.7029105935036,85.3339133262665",9843526650
Computers & Internet,Computer Consumables,Sutra It Consult Pvt. Ltd.,"Butwal , sukhrapath, Butwal, Nepal",sutrait.com.np,"27.6882254850506,83.4683848881378",9815425233
Computers & Internet,Computer Consumables,PrintShop Nepal,"New Road, P.O. Box: NA, Kathmandu, Nepal",www.printshopnepal.com,"27.7036771591058,85.3119868040085",9851085325
Computers & Internet,Computer Consumables,Silkroad Investment & Trading P. Ltd,"Newroad-22, Sankata Tebahal, Kathmandu, Nepal",www.facebook.com/redoaksimplifyingbusiness,"27.702396127409,85.3123064066313",9851004802
Computers & Internet,Computer Consumables,Technotronic Solution Pvt. Ltd.,"Naya Marga, Hetauda, Nepal",www.technotronicsolution.com.np/,"27.4269381012186,85.0314144690003",9845288888
Computers & Internet,Computer Consumables,Planet Infosys P.Ltd,"Lalitpur, UN Park, Chakkuupath 22, Kathmandu, Nepal",www.planetinfosys.com.np/,"27.6942719862844,85.3291856325757",9851128029
Computers & Internet,Computer Consumables,GLOBAL IT SUPPOERT PVT. LTD.,"Putalisadak, Kathmandu, Nepal",www.globalit.com.np,"27.7059765074881,85.3181022405625",9851060143
Computers & Internet,Computer Consumables,Instand IT Support Pvt. Ltd,"Anamnagar, Opposite of Hanumansthan Temple, Kathmandu, Nepal",instantitnepal.com/,"27.695217,85.328287",9851191460
Computers & Internet,Computer Consumables,Servicing Nepal Pvt. Ltd.,"Ichunadi Marg, Baluwatar, Ward No. 4, Kathmandu, Nepal",www.servicingnepal.com.np,"27.723310496317,85.3328141224197",9841400051
Computers & Internet,Computer Consumables,Techno Trade Concern,"Battisputali -09, Branch Tripureshwor, Kathmandu, Nepal",www.facebook.com/ttcnepal,"27.6948768192354,85.3103078767117",9841249043
Computers & Internet,Computer Consumables,Hosanna Printers,"Bhanimandal, Lalitpur, Kathmandu, Nepal",www.HosannaPrinters.WordPress.com,"27.6687249031807,85.3079565168457",9851010673
Computers & Internet,Computer Consumables,IT Global Pvt. Ltd,"Putalisadak, Kathmandu, Nepal",www.itglobal.com.np,"27.706706118809,85.3229932105286",9802078520
Computers & Internet,Computer Services,Kyrios,"Phulbari Complex - Shop No. 214, Boudha - 6, Kathmandu, Nepal",www.kyrios.xyz,"27.7236441,85.3632368",9860240226
Computers & Internet,Computer Services,Pokhara Total Facility Management Company PVT.LTD,"Naya bazar 9 pokhara, Pokhara, Nepal",www.pokharatfm.com.np,"28.2189536,83.9907238999999",9856034998
Computers & Internet,Computer Services,New A to Z Computer & Language Centre,"Bhanuchowk, JanakpurDham, Nepal, Janakpur",http://www.newatoz.edu.np,"28.3706928044213,84.200912296875",9844026865
Computers & Internet,Computer Services,Zen IT Hub Pvt. Ltd.,"Satdobato, Lalitpur, Kathmandu, Nepal",zenithub.com,"27.6565480102511,85.3250612538938",9849123571
Computers & Internet,Computer Services,BIG COMPUTER INSTITUTE,"Damauli, Tanahun, Damauli, Nepal",www.bigcomputerinstitute.com,"27.9748954927787,84.268821926354",9846776817
Computers & Internet,Computer Services,Bihani Tech Pvt. Ltd.,"Mohan Marga, New Road, Narayangarh, Bharatpur, Nepal",bihanitech.com,"27.6923006659842,84.4162795470825",9855014140
Computers & Internet,Computer Services,Dynamic IT Solution Pvt.Ltd.,"Butwal-7, Amarpath, Butwal, Nepal",www.facebook.com/disitsolution /www.dis.com.np,"27.6867796418898,83.4333944320679",9851185027
Computers & Internet,Computer Services,New Microland Computer And Suppliers,"Siraha Road, Rajbiraj, Rajbiraj, Nepal",www.microlandcomputer.com,"85.05112877980659,-180",9814747550
Computers & Internet,Computer Services,MEGATECH TRADE GROUP,"3rd floor, King's Way Tower, Ghantaghar, Kathmandu, Nepal",www.megatech.com.np,"27.7081486854644,85.3169663250446",9801110303
Computers & Internet,Computer Services,Computer Repair and Maintaince,"Kawasoti-10, Magarkot, Lumbini, Nepal",www.sandeepchhetri.com.np,"27.6209816533,84.1187438472339",9847560762
Computers & Internet,Computer Services,Karkalo Group,"Shankhamul Road, Kathmandu, Nepal, Kathmandu",karkalo.com,"27.6804,85",9847502170
Computers & Internet,Computer Services,Pro Tech Enterprises,"Bagbazar 31, Kathmandu, Nepal, Kathmandu",protechnpl.com/,"27.7056624159453,85.3187620639801",9841018098
Computers & Internet,Computer Services,Argon Pvt. Ltd.,"Sanubharang, Nagarjung-2, Kathmandu, Nepal",argon.com.np,"27.7266738783639,85.2843530775147",9851244787
Computers & Internet,Web Development,Vigorous IT Solution,"Chhorepatan-17, Pokhara 33700, Nepal, Pokhara",vigorousitsolution.com,"28.1914668394868,83.9507962451218",9816162802
Computers & Internet,Web Development,Nepgeeks Technology,"Putalisadak Kathmandu, Kathmandu, Nepal",nepgeeks.com/,"27.7032519,85.3236017",9869178426
Computers & Internet,Web Development,"Thakur International for Call Centre, BPO Services","Lamtangi Marg, Chundevi, Maharajgunj, Kathmandu-4, Nepal, Kathmandu",thakurintl.com/,"27.7352592444415,85.3380549492323",9851187077
Computers & Internet,Web Development,Digital Terai,"New Baneshwor, Kathmandu, Nepal",digitalterai.com/,"27.7190688511289,85.3308269550781",9863992047
Computers & Internet,Web Development,Salfox IT Solutions,"1043/31 Bhagawati Marg, Naxal, Kathmandu , Kathmandu, Nepal",www.salfox.com,"27.7126912646128,85.3276777267456",9841548560
Computers & Internet,Web Development,Journey4tech,"Ramanad Chowk , Janakpur, Janakpur, Nepal",www.journey4tech.com,"26.7314395014434,85.9386145634765",9801035905
Computers & Internet,Web Development,InDesign Media Pvt. Ltd.,"Sansari Maisthan, Biratnagar, Nepal",indesignmedia.net,"26.454616950506928,87.27447812205538",9852039585
Computers & Internet,Web Development,Amsoft Technologies,"Gwarko-17, Lalitpur, Patan, Nepal",www.amsoft.com.np,"27.6649408042398,85.3303880989552",9841347121
Computers & Internet,Web Development,Arun Infosys Pvt. Ltd.,"Birganj -5, Parsa, Nepal, Birgunj",www.aruninfosys.com,"27.0057719495676,84.8744694739798",9855025175
Computers & Internet,Web Development,IT Traders Nepal,"Swayambhu Marg, Sorakhutte, Kathmandu, Nepal",ittradersnepal.com.np,"27.7184625332672,85.3078067862484",9849030347
Computers & Internet,Web Development,Oldpinch Online Shopping,"Bagdol-4, Lalitpur, Kathmandu, Nepal",www.oldpinch.com,"27.671152524845,85.3013441135863",9864478470
Computers & Internet,Web Development,Magnetic Web Solution,"Kupondole -1, Patan, Nepal",magneticwebsolution.com/,"27.6909854124391,85.3074617491211",9810166373
Computers & Internet,Web Development,Real Time Solutions Pvt. Ltd,"Dhobighat, Jhamsikhel, Kathmandu, Kathmandu, Nepal",http://www.rts.com.np,"27.6754117056873,85.3084218801098",9801074963
Computers & Internet,Web Development,Kyrios,"Phulbari Complex - Shop No. 214, Boudha - 6, Kathmandu, Nepal",www.kyrios.xyz,"27.7236441,85.3632368",9860240226
Computers & Internet,Computer Software Solution,Vigorous IT Solution,"Chhorepatan-17, Pokhara 33700, Nepal, Pokhara",vigorousitsolution.com,"28.1914668394868,83.9507962451218",9816162802
Computers & Internet,Computer Software Solution,CompuTeX IT Solution,"rambazar-10, Pension Camp way, gauri marga, Pokhara, Nepal",computexnp.business.site/,"28.2018339892288,83.9952971041202",9818320706
Computers & Internet,Computer Software Solution,Decade International P Ltd,"Samakhushi Townplanning, Kathmandu, Nepal",http://decadeint.com,"27.7306397473033,85.3163078427315",9851044707
Computers & Internet,Computer Software Solution,Green Edge Technologies Pvt. Ltd. (GETS),"Aadrasha Marga, Newroad-8, Pokhara, Gandaki, Pokhara, Nepal",www.gets.com.np,"0,0",9856026092
Computers & Internet,Computer Software Solution,Arun Infosys Pvt. Ltd.,"Birganj -5, Parsa, Nepal, Birgunj",www.aruninfosys.com,"27.0057719495676,84.8744694739798",9855025175
Computers & Internet,Computer Software Solution,SQUARE TECHNOLOGY PVT. LTD.,"Munal path (Above Yamaha Showroom), Biratnagar, Nepal",www.squaretech.com.np,"26.468448,87.2784291",9801005554
Computers & Internet,Computer Software Solution,Real Time Solutions Pvt. Ltd,"Dhobighat, Jhamsikhel, Kathmandu, Kathmandu, Nepal",http://www.rts.com.np,"27.6754117056873,85.3084218801098",9801074963
Computers & Internet,Computer Software Solution,Connepsys PVT LTD,"Gyaneshwor-30, Kathmandu, Nepal, Kathmandu",www.connepsys.com,"27.7017773579742,85.3224205970764",9851014866
Computers & Internet,Computer Software Solution,Software Systems Nepal (P) Ltd.,"Dhapasi-9, Basundhara, Kathmandu, Nepal, Kathmandu",www.softsysnepal.com/,"27.7427950976693,85.3334659337997",9851019998
Computers & Internet,Computer Software Solution,e-Zone International,"New Baneshwor, Opposite of BICC West Gate No.2, Kathmandu, Nepal",www.ezone.com.np,"27.6893864546825,85.3352400506096",9802026676
Computers & Internet,Computer Software Solution,Kasturi Sanjaal,"Annadamargha,Chitwan, Bharatpur, Nepal",kasturisanjaal.com,"27.6871717799021,84.4193198310009",9845520490
Computers & Internet,Computer Software Solution,Prime Soft Services Pvt. Ltd.,"Milan Chowk, Butwal, Nepal",www.merogurukul.com,"27.6917247,83.4640962",9867157330
Computers & Internet,Computer Software Solution,Web Talents Dot Net (Pvt. Ltd.),"44622, Golfutar Height, Ward No. 8, Kathmandu, Nepal",webtalents.com,"27.7495556764332,85.3472521374376",9840679800
Computers & Internet,Computer Software Solution,Creative Corporation,"Putali sadak, Kamaladi Mode, Kathmandu, Nepal",www.creativecorpinc.com,"27.707856378381,85.3221674432735",9808162062
Computers & Internet,Computer Software Solution,Mhuchya Technology,"Sankhamul, New Baneshwor, Kathmandu, Nepal",www.mhuchya.com.np,"27.6768794,85.3369894",9801182170
Computers & Internet,Computer Software Solution,Phoenix Solutions,"Maitidevi, Kathmandu, Nepal",www.phoenixsolutions.com.np,"27.70399,85.3326",9851128097
Computers & Internet,Computer Training,International Standard Icon- ISI NEPAL,"Balkumari,Kathmandu, Kathmandu, Nepal",http://www.isinepal.com,"27.7165884716738,85.3225708007813",9851117676
Computers & Internet,Computer Training,CompuTeX IT Solution,"rambazar-10, Pension Camp way, gauri marga, Pokhara, Nepal",computexnp.business.site/,"28.2018339892288,83.9952971041202",9818320706
Computers & Internet,Computer Training,IT Training Nepal Pvt. Ltd.,"Putalidadak, Kathmandu, Opposite to Century Commercial Bank, Kathmandu, Nepal",www.ittrainingnepal.com,"27.7077796027401,85.3218105300721",9851105974
Computers & Internet,Computer Training,New A to Z Computer & Language Centre,"Bhanuchowk, JanakpurDham, Nepal, Janakpur",http://www.newatoz.edu.np,"28.3706928044213,84.200912296875",9844026865
Computers & Internet,Computer Training,Kasturi Sanjaal,"Annadamargha,Chitwan, Bharatpur, Nepal",kasturisanjaal.com,"27.6871717799021,84.4193198310009",9845520490
Computers & Internet,Computer Training,Mhuchya Technology,"Sankhamul, New Baneshwor, Kathmandu, Nepal",www.mhuchya.com.np,"27.6768794,85.3369894",9801182170
Computers & Internet,Computer Training,School of Information Technologies,"Raja Janak Marg, Tinkune , Kathmandu, Nepal",www.schoolofit.edu.np,"27.686972,85.347756",9861666678
Computers & Internet,Computer Training,BIG COMPUTER INSTITUTE,"Damauli, Tanahun, Damauli, Nepal",www.bigcomputerinstitute.com,"27.9748954927787,84.268821926354",9846776817
Computers & Internet,Computer Training,Bluefin Technologies,"Damauli Tanahun, Damauli, Nepal",www.bluefintechnepal.com,"27.9748345059956,84.2668935656548",9851233334
Computers & Internet,Computer Training,Goodluck Glocal Pvt. Ltd,"Ikalu tower, Shankhamul, New baneshwor, Kathmandu, Nepal",goodluckglocal.com,"27.6852381921566,85.3350524604321",9818877980
Computers & Internet,Computer Training,JSP Technologies Pvt. Ltd.,"Kailalipool, Dhangadhi-1, Kailali, Dhangadhi, Nepal",www.jsp.com.np,"28.7045535423459,80.5804111808538",9848444740
Computers & Internet,Computer Training,Universal Institute,"Pako, Newroad, Kathmandu, Nepal",mobiletraininginkathmandunepal.com/,"27.700769,85.30014",9851198723
Computers & Internet,Computer Training,Yala Tech Hub,"Kumaripati, Lalitpur, Patan, Nepal",www.yalatechhub.com,"27.6699,84.0484769941406",9841651811
Computers & Internet,Computer Training,Alliance Pvt Ltd,"Adwait Marg, Kathmandu, Kathmandu, Nepal",www.alliancelaptoptraining.com.np,"27.70169,85.3206",9841030824
Computers & Internet,Software Applications,Vigorous IT Solution,"Chhorepatan-17, Pokhara 33700, Nepal, Pokhara",vigorousitsolution.com,"28.1914668394868,83.9507962451218",9816162802
Computers & Internet,Software Applications,Salfox IT Solutions,"1043/31 Bhagawati Marg, Naxal, Kathmandu , Kathmandu, Nepal",www.salfox.com,"27.7126912646128,85.3276777267456",9841548560
Computers & Internet,Software Applications,Amsoft Technologies,"Gwarko-17, Lalitpur, Patan, Nepal",www.amsoft.com.np,"27.6649408042398,85.3303880989552",9841347121
Computers & Internet,Software Applications,SQUARE TECHNOLOGY PVT. LTD.,"Munal path (Above Yamaha Showroom), Biratnagar, Nepal",www.squaretech.com.np,"26.468448,87.2784291",9801005554
Computers & Internet,Software Applications,Kyrios,"Phulbari Complex - Shop No. 214, Boudha - 6, Kathmandu, Nepal",www.kyrios.xyz,"27.7236441,85.3632368",9860240226
Computers & Internet,Software Applications,Raindrops Creation,"Lazimpat, Kathmandu, Nepal",www.raindropscreation.com,"27.7229034922392,85.3230106626177",9849167154
Computers & Internet,Software Applications,BMP Infology Pvt. Ltd.,"Baluwatar Kathmandu, Kathmandu, Nepal",www.bmpinfology.com/,"27.730599,85.330603",9841827195
Computers & Internet,Software Applications,e-Zone International,"New Baneshwor, Opposite of BICC West Gate No.2, Kathmandu, Nepal",www.ezone.com.np,"27.6893864546825,85.3352400506096",9802026676
Computers & Internet,Software Applications,Web Talents Dot Net (Pvt. Ltd.),"44622, Golfutar Height, Ward No. 8, Kathmandu, Nepal",webtalents.com,"27.7495556764332,85.3472521374376",9840679800
Computers & Internet,Software Applications,Complete Business Solution Pvt. Ltd.,"Talchikhel, Lalitpur, Kathmandu, Nepal",cbsnepal.com,"27.6589708256634,85.3217473626137",9851173362
Computers & Internet,Software Applications,Mhuchya Technology,"Sankhamul, New Baneshwor, Kathmandu, Nepal",www.mhuchya.com.np,"27.6768794,85.3369894",9801182170
Computers & Internet,Software Applications,Phoenix Solutions,"Maitidevi, Kathmandu, Nepal",www.phoenixsolutions.com.np,"27.70399,85.3326",9851128097
Computers & Internet,Information Technology,Vigorous IT Solution,"Chhorepatan-17, Pokhara 33700, Nepal, Pokhara",vigorousitsolution.com,"28.1914668394868,83.9507962451218",9816162802
Computers & Internet,Information Technology,Nepgeeks Technology,"Putalisadak Kathmandu, Kathmandu, Nepal",nepgeeks.com/,"27.7032519,85.3236017",9869178426
Computers & Internet,Information Technology,Tech Partners Nepal,"New Road, Samsung Galli (Durbarthok Marga), Pokhara, Pokhara, Nepal",www.techpartnersnepal.com.np,"28.2186510987859,83.9885258674622",9801024374
Computers & Internet,Information Technology,IT Training Nepal Pvt. Ltd.,"Putalidadak, Kathmandu, Opposite to Century Commercial Bank, Kathmandu, Nepal",www.ittrainingnepal.com,"27.7077796027401,85.3218105300721",9851105974
Computers & Internet,Information Technology,Real Time Solutions Pvt. Ltd,"Dhobighat, Jhamsikhel, Kathmandu, Kathmandu, Nepal",http://www.rts.com.np,"27.6754117056873,85.3084218801098",9801074963
Computers & Internet,Information Technology,Kyrios,"Phulbari Complex - Shop No. 214, Boudha - 6, Kathmandu, Nepal",www.kyrios.xyz,"27.7236441,85.3632368",9860240226
Computers & Internet,Information Technology,Raindrops Creation,"Lazimpat, Kathmandu, Nepal",www.raindropscreation.com,"27.7229034922392,85.3230106626177",9849167154
Computers & Internet,Information Technology,Connepsys PVT LTD,"Gyaneshwor-30, Kathmandu, Nepal, Kathmandu",www.connepsys.com,"27.7017773579742,85.3224205970764",9851014866
Computers & Internet,Information Technology,Tarang Tech,"Maitidevi,Kathmandu BA 44600,Nepal, Kathmandu",www.tarang.com.np,"27.7062608355629,85.3335678577423",9867123563
Computers & Internet,Information Technology,aapple technologies,"dhoka baha, jyatha, Kathmandu, Nepal",www.atnepal.net,"28.3963917409217,84.1379879415035",9849143786
Computers & Internet,Information Technology,BMP Infology Pvt. Ltd.,"Baluwatar Kathmandu, Kathmandu, Nepal",www.bmpinfology.com/,"27.730599,85.330603",9841827195
Computers & Internet,Web Services,Nepgeeks Technology,"Putalisadak Kathmandu, Kathmandu, Nepal",nepgeeks.com/,"27.7032519,85.3236017",9869178426
Computers & Internet,Web Services,WEBSOFT NEPAL Pvt. Ltd.,"2nd Floor Pashupati Plaza, Honkong Bazar Rd, Narayangarh, Chitwan, Bharatpur, Nepal",www.websoftnepal.com,"27.6947715554579,84.4246610999107",9845506426
Computers & Internet,Web Services,Decade International P Ltd,"Samakhushi Townplanning, Kathmandu, Nepal",http://decadeint.com,"27.7306397473033,85.3163078427315",9851044707
Computers & Internet,Web Services,Salfox IT Solutions,"1043/31 Bhagawati Marg, Naxal, Kathmandu , Kathmandu, Nepal",www.salfox.com,"27.7126912646128,85.3276777267456",9841548560
Computers & Internet,Web Services,Journey4tech,"Ramanad Chowk , Janakpur, Janakpur, Nepal",www.journey4tech.com,"26.7314395014434,85.9386145634765",9801035905
Computers & Internet,Web Services,Amsoft Technologies,"Gwarko-17, Lalitpur, Patan, Nepal",www.amsoft.com.np,"27.6649408042398,85.3303880989552",9841347121
Computers & Internet,Web Services,Arun Infosys Pvt. Ltd.,"Birganj -5, Parsa, Nepal, Birgunj",www.aruninfosys.com,"27.0057719495676,84.8744694739798",9855025175
Computers & Internet,Web Services,IT Traders Nepal,"Swayambhu Marg, Sorakhutte, Kathmandu, Nepal",ittradersnepal.com.np,"27.7184625332672,85.3078067862484",9849030347
Computers & Internet,Web Services,"Pranish Shrestha :: Website Designer and Joomla developer, Biratnagar","Bargachhi, Biratnagar, Nepal",pranishshrestha.com.np,"26.4707074791571,87.2777080535889",9802024403
Computers & Internet,Web Services,aapple technologies,"dhoka baha, jyatha, Kathmandu, Nepal",www.atnepal.net,"28.3963917409217,84.1379879415035",9849143786
Computers & Internet,Web Services,e-Zone International,"New Baneshwor, Opposite of BICC West Gate No.2, Kathmandu, Nepal",www.ezone.com.np,"27.6893864546825,85.3352400506096",9802026676
Computers & Internet,Web Services,Hosting Ground,"Jawalakhel, Kathmandu, Nepal",www.hostingground.com,"27.6724117266979,85.3132259845734",9843515578
Computers & Internet,Web Services,Transparent Digital Agency,"Adarshanagar, Kathmandu, Kathmandu, Nepal",www.transparentdigitalagency.com,"27.7316468867946,85.3583311880188",9803676858
Computers & Internet,Web Services,Bramento Technology,"Maitidevi, Kathmandu, Nepal",www.bramento.com,"27.7029105935036,85.3339133262665",9843526650
Computers & Internet,Web Services,Mega Innovative Nepal Pvt .Ltd,"Junhall Road, Bharatpur, Nepal",www.megainnovativenepal.com,"27.6634608120928,84.462890625",9851249338
Computers & Internet,Internet Service Providers,FiberTel FiberNet pvt Ltd,"lamki-chuha 2 motipur, Tikapur, Nepal",fibertelfibernet.com.np/,"28.6394,0",9865885244
Computers & Internet,Internet Service Providers,Eastlink Technology Pvt. Ltd.,"Tripureshowr, Kathmandu, Nepal",www.eastlink.net.np,"27.693527,85.31461",9851046929
Computers & Internet,Internet Service Providers,New Nepal Computer Care,"Rupani Road, Rajbiraj, Nepal",www.nepalcomputercare.wordpress.com,"26.5442220525446,86.7475302816467",9804752133
Computers & Internet,Internet Service Providers,RS CYBER,"kirtipur-18, town planing, Kathmandu, Nepal",www.rscyber.com.np,"28.3891185021579,84.1226347089844",9843152515
Computers & Internet,Internet Service Providers,I tel,"butwal , milanchowk , Butwal, Nepal",www.brightit.com.np,"0,84.4208490313031",9801228569
